Spin,Number,Net Result,Cumulative,Bet zero,Bet first_dozen,Bet second_dozen,Bet black,Bet even,Total Bet
142,17,-358,14048,10,12,48,144,576,790
143,6,1196,15244,10,24,12,18,1152,1216
144,17,26,15270,10,12,24,18,18,82
145,10,80,15350,10,24,12,18,36,100
146,15,26,15376,10,12,24,18,18,82
147,15,-28,15348,10,24,12,18,36,100
148,6,164,15512,10,48,12,18,72,160
149,11,-10,15502,10,12,24,18,18,82
150,17,56,15558,10,12,48,18,36,124
151,2,116,15674,10,24,12,18,72,136
152,12,-10,15664,10,12,24,18,18,82
153,16,56,15720,10,12,48,36,18,124
154,12,-28,15692,10,24,12,72,18,136
155,30,-172,15520,10,12,24,144,18,208
156,16,-208,15312,10,24,48,288,18,388
157,7,-520,14792,10,48,12,576,18,664
158,1,-1198,13594,10,12,24,1152,36,1234
159,5,-2410,11184,10,12,48,2304,72,2446
160,3,-4834,6350,10,12,96,4608,144,4870
161,1,-9682,-3332,10,12,192,9216,288,9718
162,7,-19378,-22710,10,12,384,18432,576,19414
163,3,-38770,-61480,10,12,768,36864,1152,38806
164,14,-68374,-129854,10,12,1536,73728,2304,77590
165,5,-147448,-277302,10,24,12,147456,18,147520
166,18,-294850,-572152,10,12,24,294912,36,294994
167,17,589796,17644,10,24,12,589824,18,589888
168,10,128,17772,10,48,12,18,36,124
169,10,26,17798,10,12,24,18,18,82
170,2,2,17800,10,12,48,18,18,106
171,15,170,17970,10,12,96,18,18,154
172,15,-28,17942,10,24,12,18,36,100
173,0,200,18142,10,48,12,18,72,160
174,10,347,18489,1,96,24,36,144,301
175,18,82,18571,2,12,48,18,18,98
176,36,-57,18514,3,24,12,36,18,93
177,36,-130,18384,4,48,24,72,18,166
178,14,-131,18253,5,96,48,144,18,311
179,16,-444,17809,6,192,12,288,18,516
180,16,-925,16884,7,384,12,576,18,997
181,1,346,17230,8,768,12,1152,18,1958
182,0,-2061,15169,9,12,24,2304,36,2385
183,3,-4681,10488,1,24,48,4608,72,4753
184,9,-9434,1054,2,12,96,9216,144,9470
185,5,-18891,-17837,3,12,192,18432,288,18927
186,5,-37804,-55641,4,12,384,36864,576,37840
187,14,-71057,-126698,5,12,768,73728,1152,75665
188,13,147432,20734,6,24,12,147456,18,147516
189,13,-49,20685,7,48,12,18,36,121
190,4,262,20947,8,96,12,18,72,206
191,6,27,20974,9,12,24,18,18,81
192,9,-70,20904,10,12,48,18,18,106
193,15,170,21074,10,12,96,36,36,190
194,3,-64,21010,10,24,12,18,72,136
195,19,-154,20856,10,12,24,36,144,226
196,12,242,21098,10,24,12,72,288,406
197,18,-100,20998,10,12,24,144,18,208
198,9,-280,20718,10,24,12,288,18,352
199,18,-514,20204,10,12,24,576,36,658
200,11,1160,21364,10,24,12,1152,18,1216
201,12,8,21372,10,12,24,18,36,100
202,2,20,21392,10,12,48,36,18,124
203,30,-118,21274,10,12,96,18,18,154
204,12,-172,21102,10,24,192,36,18,280
205,2,-280,20822,10,12,384,72,18,496
206,14,1514,22336,10,12,768,18,18,826
207,2,80,22416,10,24,12,36,18,100
208,7,-46,22370,10,12,24,18,18,82
209,5,-106,22264,10,12,48,36,36,142
210,18,170,22434,10,12,96,72,72,262
211,18,-136,22298,10,24,12,144,18,208
212,18,-304,21994,10,48,12,288,18,376
213,0,-352,21642,10,96,12,576,18,712
214,4,1547,23189,1,192,24,1152,36,1405
215,16,82,23271,2,12,48,18,18,98
216,18,-21,23250,3,24,12,36,18,93
217,30,-118,23132,4,48,12,72,18,154
218,11,289,23421,5,96,24,144,18,287
219,9,-84,23337,6,12,48,18,36,120
220,5,-187,23150,7,12,96,36,72,223
221,1,-392,22758,8,12,192,72,144,428
222,25,-837,21921,9,12,384,144,288,837
223,3,-1594,20327,10,24,768,288,576,1666
224,19,1322,21649,10,12,1536,576,1152,3286
225,1,-3430,18219,10,24,12,1152,2304,3502
226,12,2294,20513,10,12,24,2304,4608,6958
227,12,-4624,15889,10,12,48,4608,18,4696
228,12,-9280,6609,10,12,96,9216,18,9352
229,9,-18628,-12019,10,12,192,18432,18,18664
230,5,-37270,-49289,10,12,384,36864,36,37306
231,9,-74554,-123843,10,12,768,73728,72,74590
232,14,-144262,-268105,10,12,1536,147456,144,149158
233,9,-294904,-563009,10,24,12,294912,18,294976
234,1,-589870,-1152879,10,12,24,589824,36,589906
235,10,1179686,26807,10,12,48,1179648,72,1179790
236,3,-118,26689,10,12,96,18,18,154
237,2,-106,26583,10,12,192,36,36,286
238,5,-406,26177,10,12,384,18,18,442
239,9,-826,25351,10,12,768,36,36,862
240,1,-1666,23685,10,12,1536,72,72,1702
241,16,6122,29807,10,12,3072,144,144,3382
242,12,-244,29563,10,24,12,288,18,352
243,16,-532,29031,10,12,24,576,18,640
244,3,-1144,27887,10,24,12,1152,18,1216
245,3,-2350,25537,10,12,24,2304,36,2386
246,0,-4390,21147,10,12,48,4608,72,4750
247,9,-9409,11738,1,24,96,9216,144,9481
248,8,18550,30288,2,12,192,18432,288,18926
249,12,-363,29925,3,12,384,18,18,435
250,14,1502,31427,4,12,768,36,18,838
251,3,-59,31368,5,24,12,72,18,131
252,5,-186,31182,6,12,24,144,36,222
253,14,-139,31043,7,12,48,288,72,427
254,18,-566,30477,8,24,12,576,18,638
255,16,-1167,29310,9,48,12,1152,18,1239
256,9,-2152,27158,10,96,12,2304,18,2440
